summoner_id,Rank,Division,puuid
jRkg4rNEumgpbzf2MorJc9MrcpJdhoZwGzXa8GAu6foEZp5HK3T96D8C3Q,CHALLENGER,,1bIcsAlZYBFasZ_7i8BEj3J7cB_gTYeXE78_TWeMdF8vJx5JAsP5Q7-PvCW_9MtGpOSmMVpHzBvY_Q
qmgs4nrhQGgqVHSONiEz8x8U3uz50kpLkZ67fehwscFzSvqdFCeC4NQm-w,CHALLENGER,,DGJ4Ei1usxJ8wZCRs56FBh3ISL7LIn12Auhn5PdKyWeq8nTquEGUaGVYzGXcfrmzC8kQp5KhfL0OOw
5fOj0o2GvDMoSTMNKri7WL_whZVGEfXJM57VRF9_h8vpsaRmFyG37TigSQ,CHALLENGER,,Sub_TWuD8aVUM4YNiyQCW5cbBq6GcXI-bGuXqI7OQOcU5S9U8M4jlsJH4F8Hm5yms9n_S50UkHgyKA
TJEdr98RlfVxySYsa7yq8aTxzR5CIaOr6MdYCMiSWwQUbT-ffsDA1eYzvw,CHALLENGER,,QVu3nczFWCsl18IOoExbe1AzbaMl2wIyKsB1u1S2Ysg_edBwkQFocceuX3hzmkrMPAROi7n2BvG5Vg
raJXEZ0gCMgk3rBEEq08q0Hiq0RQt-PUI0qHlf_nYEql7BF-knkwWKs6fA,CHALLENGER,,TF7CMsUCs_z7jpZb7I6wHMAOoyM_A9GEmoJL0uA8FEeqPPfZRMAnaewBV4pmfUgYIn2Bbp_bGjWb9g
HgJMaIG_Cha5rStXJ-1hUDxE8KzO3DZcDhPjR35-EUNso0xTN18Fqz3zMA,CHALLENGER,,gccZjPGIdeOr39nERqj78ZzY0y4cvrYCS05E5fokjOzlGDWPdHkQ30hgR9SVeoq3363ipz6ydzJ_nQ
TqUJjjFlj9gO5ywbIoojMgvM8E7n0YFaQk5HyngFelAWvwhXpQeLKGsyOw,CHALLENGER,,c7KHB6G68-GDxm34E1CHzV7PsiVc_rrXLUBDhNxZq91Td8No0cA-pzlMNa01_KQQI7sFj3qkkq1Q-A
Clj67D0fE4sIfCbYM4iJ7_n0x2Yb8H4-yxVByeli55qURadO0qKeakzBLw,CHALLENGER,,Fa8kC2YI6rCqb9yqXzrZPfaRNCKMsf42vOD6Wg-uR1P5oDJTKCN3bn8NT85iIkB_lWJJSHG7c3Dldw
r-ZPsv6hPNYZ7e5ul8zhtYWwjrKDIizOqckTbMOsVhMZVu38Bcbybd6vew,CHALLENGER,,JpY9M9-bA7FPXfkf4lJzqlvh1yDb-MwEpUnHK4jfKoE62L8uCg2i8r0_LvajlG_Pp7KXNqlSuFTopA
ZwdVgFEvBOBTZMtdm0yPKkD5Cg0-lgaFh43Y2ydIjaWRjkkvqQIGWraO3g,CHALLENGER,,o9sgvX1YGVTYgzaiiFimAhm-TDr4Bx4U1Mi7wQphtppioXE4QyIiz5cXvrLrq3-MaDjh6m4kQYqWug
